date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,Total measured radiation,temperature,power
2018/7/1,0:00,0,0,26.89,44.65,0,26,0
2018/7/1,0:15,0,0,26.69,45.88,0,25.700001,0
2018/7/1,0:30,0,0,26.47,47.19,0,25.5,0
2018/7/1,0:45,0,0,26.2,48.6,0,25.6,0
2018/7/1,1:00,0,0,25.97,49.92,0,25.299999,0
2018/7/1,1:15,0,0,25.76,51.23,0,25.1,0
2018/7/1,1:30,0,0,25.53,52.59,0,25.1,0
2018/7/1,1:45,0,0,25.28,54,0,24.6,0
2018/7/1,2:00,0,0,25.01,55.44,0,23.9,0
2018/7/1,2:15,0,0,24.73,56.84,0,24.6,0
2018/7/1,2:30,0,0,24.48,58.16,0,24.4,0
2018/7/1,2:45,0,0,24.21,59.48,0,24.200001,0
2018/7/1,3:00,0,0,23.96,60.73,0,24,0
2018/7/1,3:15,0,0,23.73,61.94,0,24.1,0
2018/7/1,3:30,0,0,23.52,63.04,0,23.4,0
2018/7/1,3:45,0,0,23.31,64.18,0,23.299999,0
2018/7/1,4:00,0,0,23.11,65.28,0,22.9,0
2018/7/1,4:15,0,0,22.91,66.35,0,22.700001,0
2018/7/1,4:30,0,0,22.74,67.33,0,22.6,0
2018/7/1,4:45,0,0,22.57,68.28,0,22.4,0
2018/7/1,5:00,0,0,22.38,69.27,0,22.200001,0
2018/7/1,5:15,17.14,8.47,22.37,69.62,0,22.299999,0.03108
2018/7/1,5:30,40.75,25.8,22.49,69.44,21,22.5,0.223477
2018/7/1,5:45,83.23,61.3,22.88,68.2,35,22.5,0.417354
2018/7/1,6:00,114.38,88.85,23.46,66.22,51,22.799999,0.626032
2018/7/1,6:15,163.7,133.77,24.17,63.44,81,23.200001,0.861349
2018/7/1,6:30,197.73,165.33,24.58,62.32,118,23.9,1.228384
2018/7/1,6:45,249.85,214.27,25.2,59.64,160,24.6,1.734537
2018/7/1,7:00,285.01,247.57,25.68,57.64,202,25.299999,2.388689
2018/7/1,7:15,337.89,297.97,26.29,55.92,247,25.6,3.102039
2018/7/1,7:30,373,331.58,26.97,54.09,300,26,3.966348
2018/7/1,7:45,425.04,381.6,27.76,51.12,353,26.4,4.750737
2018/7/1,8:00,459.15,414.48,28.35,48.36,402,27.1,5.641685
2018/7/1,8:15,509.1,462.74,28.95,47.19,446,27.9,6.553353
2018/7/1,8:30,541.4,494.01,29.57,46.03,506,28.4,7.309624
2018/7/1,8:45,588.09,539.28,30.3,43.94,546,29.299999,8.126573
2018/7/1,9:00,617.87,568.21,30.85,41.73,594,29.4,8.896163
2018/7/1,9:15,660.28,609.43,31.36,40.9,650,29.6,9.522194
2018/7/1,9:30,686.83,635.26,31.88,38.36,704,30.200001,10.41166
2018/7/1,9:45,723.95,671.41,32.22,38.01,750,30.200001,11.23453
2018/7/1,10:00,746.83,693.7,32.62,35.82,778,30.700001,11.65485
2018/7/1,10:15,777.95,724.03,32.94,35.2,803,31.200001,12.04704
2018/7/1,10:30,796.48,742.1,33.21,35.18,836,30.9,12.62275
2018/7/1,10:45,820.93,765.93,33.56,33.44,871,31.6,13.05047
2018/7/1,11:00,834.81,779.48,33.8,33.09,883,32,13.31982
2018/7/1,11:15,852.06,796.29,34.01,33.22,928,32.099998,13.77714
2018/7/1,11:30,861.19,805.2,34.2,33.4,941,32.700001,13.94734
2018/7/1,11:45,871.33,815.1,34.44,32.91,953,32.200001,14.03613
2018/7/1,12:00,875.48,819.15,34.68,32,954,32.700001,14.01245
2018/7/1,12:15,877.1,820.78,34.85,31.8,955,32.900002,14.10569
2018/7/1,12:30,872.64,816.58,35.02,31.6,954,32.900002,14.04501
2018/7/1,12:45,861.15,805.68,35.22,30.89,911,33.299999,13.6247
2018/7/1,13:00,848.93,794.03,35.39,30.03,921,33.5,13.72978
2018/7/1,13:15,836.21,781.69,35.55,29.5,897,33.5,13.40418
2018/7/1,13:30,831.4,776.79,35.68,29.2,855,33.599998,12.53099
