date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,Total measured radiation,temperature,power
2018/7/1,0:00,0,0,25.33,43.14,0,26.4,0
2018/7/1,0:15,0,0,25.29,42.76,0,26.799999,0
2018/7/1,0:30,0,0,25.23,42.48,0,27.299999,0
2018/7/1,0:45,0,0,25.13,42.27,0,27.4,0
2018/7/1,1:00,0,0,25.04,42.08,0,27.700001,0
2018/7/1,1:15,0,0,24.93,41.93,0,27.799999,0
2018/7/1,1:30,0,0,24.83,41.75,0,27.6,0
2018/7/1,1:45,0,0,24.74,41.55,0,26.5,0
2018/7/1,2:00,0,0,24.68,41.32,0,26.9,0
2018/7/1,2:15,0,0,24.66,40.99,0,26.6,0
2018/7/1,2:30,0,0,24.67,40.63,0,23,0
2018/7/1,2:45,0,0,24.67,40.34,0,23.5,0
2018/7/1,3:00,0,0,24.64,40.15,0,24.299999,0
2018/7/1,3:15,0,0,24.58,40.07,0,24.299999,0
2018/7/1,3:30,0,0,24.48,40.09,0,24.799999,0
2018/7/1,3:45,0,0,24.36,40.17,0,25.1,0
2018/7/1,4:00,0,0,24.26,40.23,0,24.799999,0
2018/7/1,4:15,0,0,24.21,40.19,0,24.799999,0
2018/7/1,4:30,0,0,24.2,40.11,0,24.6,0
2018/7/1,4:45,0,0,24.18,40.1,0,24.5,0
2018/7/1,5:00,0,0,24.1,40.28,0,23.9,0
2018/7/1,5:15,5.48,1.71,24.01,40.65,1,23.9,0
2018/7/1,5:30,25.58,14.48,24.01,41.16,10,23.700001,0.17336
2018/7/1,5:45,65.8,46.65,24.38,41.03,23,23.4,0.50116
2018/7/1,6:00,96.27,73.13,24.75,40.98,38,23.200001,0.84216
2018/7/1,6:15,145.23,117.32,25.32,40.57,55,23.299999,1.3068
2018/7/1,6:30,179.3,148.79,25.92,40.16,70,23.299999,1.84448
2018/7/1,6:45,231.7,197.86,26.25,39.69,88,23.799999,2.37688
2018/7/1,7:00,267.05,231.3,26.27,40.34,115,24.299999,3.10948
2018/7/1,7:15,320.35,282.05,26.43,40.94,143,24.5,4.16284
2018/7/1,7:30,355.89,316.09,26.68,41.44,177,25,5.2954
2018/7/1,7:45,408.83,367,27.1,41.52,214,25.1,6.46492
2018/7/1,8:00,443.61,400.55,27.57,40.9,255,25.799999,7.75148
2018/7/1,8:15,494.62,449.88,27.97,40.45,294,26.1,8.998879
2018/7/1,8:30,527.72,481.94,28.35,40.25,337,26.4,10.22428
2018/7/1,8:45,575.74,528.55,28.78,39.73,377,26.700001,11.4928
2018/7/1,9:00,606.53,558.49,29.22,38.97,422,27.200001,12.80796
2018/7/1,9:15,650.59,601.37,29.65,37.6,459,27.700001,13.90532
2018/7/1,9:30,678.38,628.45,30.05,36.53,483,27.5,14.88168
2018/7/1,9:45,717.53,666.63,30.45,35.74,520,27.700001,15.939
2018/7/1,10:00,741.78,690.29,30.82,35.14,554,28.4,16.739799
2018/7/1,10:15,775.13,722.86,31.22,34.48,581,28.6,17.694599
