date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,Total measured radiation,temperature,power
2018/7/1,0:00,0,0,23.88,45.3,0,25,0
2018/7/1,0:15,0,0,24.04,44.86,0,24.700001,0
2018/7/1,0:30,0,0,24.09,44.99,0,24.200001,0
2018/7/1,0:45,0,0,24.01,45.64,0,24.4,0
2018/7/1,1:00,0,0,23.84,46.65,0,25,0
2018/7/1,1:15,0,0,23.62,47.84,0,24.299999,0
2018/7/1,1:30,0,0,23.38,49.11,0,23.6,0
2018/7/1,1:45,0,0,23.18,50.3,0,23.700001,0
2018/7/1,2:00,0,0,23.01,51.44,0,24.5,0
2018/7/1,2:15,0,0,22.82,52.61,0,24.700001,0
2018/7/1,2:30,0,0,22.63,53.74,0,25.1,0
2018/7/1,2:45,0,0,22.42,54.78,0,24.299999,0
2018/7/1,3:00,0,0,22.22,55.72,0,23.799999,0
2018/7/1,3:15,0,0,21.98,56.67,0,23.200001,0
2018/7/1,3:30,0,0,21.74,57.5,0,22.6,0
2018/7/1,3:45,0,0,21.53,58.18,0,22.700001,0
2018/7/1,4:00,0,0,21.35,58.68,0,23,0
2018/7/1,4:15,0,0,21.2,58.91,0,22.9,0
2018/7/1,4:30,0,0,21.12,58.84,0,22.799999,0
2018/7/1,4:45,0,0,21.02,58.8,0,22.700001,0
2018/7/1,5:00,0,0,20.98,58.54,1,22.6,0
2018/7/1,5:15,20.34,10.71,21.07,58.32,6,22.700001,0.042623
2018/7/1,5:30,43.99,28.54,21.35,57.88,15,22.4,0.156286
2018/7/1,5:45,85.82,63.85,21.92,56.37,32,22.5,0.397819
2018/7/1,6:00,116.32,90.98,22.4,55.67,92,22.6,0.809845
2018/7/1,6:15,164.53,135.08,22.93,55.1,143,23.200001,1.264495
2018/7/1,6:30,197.84,166.09,23.27,55.54,197,23.700001,1.804392
2018/7/1,6:45,248.87,214.15,23.66,55.82,240,24,2.188003
2018/7/1,7:00,283.27,246.83,24.01,55.65,303,24.6,2.85577
2018/7/1,7:15,334.97,296.23,24.42,55.28,344,25.200001,3.43829
2018/7/1,7:30,369.27,329.18,24.78,55.25,406,26.200001,4.248135
2018/7/1,7:45,420.13,378.2,25.18,55.13,469,27.299999,5.129019
2018/7/1,8:00,453.45,410.4,25.51,55.04,528,26.799999,6.009904
2018/7/1,8:15,502.24,457.67,25.87,54.92,559,27.1,6.762918
2018/7/1,8:30,533.86,488.36,26.21,54.59,561,26.9,7.274399
2018/7/1,8:45,579.64,532.88,26.58,53.96,672,26.799999,8.581517
2018/7/1,9:00,608.92,561.39,26.94,53.34,736,27.1,9.334531
2018/7/1,9:15,650.76,602.17,27.33,52.63,764,27.700001,9.86022
2018/7/1,9:30,677.12,627.9,27.73,51.86,801,28.5,10.5422
2018/7/1,9:45,714.16,664.07,28.17,50.96,825,28.4,11.16734
2018/7/1,10:00,737.06,686.46,28.64,49.69,855,28.5,11.73565
2018/7/1,10:15,768.64,717.34,29.12,47.76,886,28.9,12.30396
2018/7/1,10:30,787.64,735.94,29.61,45.49,897,28.700001,12.58812
2018/7/1,10:45,813,760.73,30.09,43.64,928,29.200001,13.04277
2018/7/1,11:00,827.77,775.2,30.56,42.11,945,29.5,13.35534
2018/7/1,11:15,846.54,793.58,31.02,40.79,959,29.9,13.61108
2018/7/1,11:30,856.72,803.56,31.45,39.59,969,30.4,13.80999
2018/7/1,11:45,868.4,815.01,31.91,38.07,973,30.799999,13.98048
2018/7/1,12:00,873.76,820.28,32.41,35.74,983,30.6,14.03732
2018/7/1,12:15,877.9,824.34,32.82,33.65,943,30.9,14.10836
2018/7/1,12:30,878.07,824.52,33.16,33.03,922,31.1,13.61108
2018/7/1,12:45,874.5,821.02,33.53,32.56,915,31.1,13.62529
2018/7/1,13:00,869.52,816.15,33.9,31.59,892,31.4,13.55425
2018/7/1,13:15,858.41,805.28,34.2,30.62,860,31.6,13.32693
2018/7/1,13:30,848.72,795.79,34.49,30.09,825,32,13.49742
2018/7/1,13:45,830.7,778.17,34.77,29.14,737,32.400002,12.67337
2018/7/1,14:00,816.32,764.11,35.01,28.21,735,32.5,12.74441
2018/7/1,14:15,791.37,739.68,35.2,27.81,686,32.299999,11.74986
2018/7/1,14:30,772.64,721.38,35.38,27.41,675,32.900002,12.26134
2018/7/1,14:45,741.62,691.06,35.54,26.94,621,32.799999,11.33783
2018/7/1,15:00,718.95,668.91,35.71,26.34,580,32.799999,10.71269
