date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,Total measured radiation,temperature,power
2018/7/1,0:00,0,0,23.9,51.23,0,25.5,0
2018/7/1,0:15,0,0,23.72,51.51,0,25.5,0
2018/7/1,0:30,0,0,23.58,51.7,0,25.6,0
2018/7/1,0:45,0,0,23.41,51.96,0,25.700001,0
2018/7/1,1:00,0,0,23.29,52.1,0,25.299999,0
2018/7/1,1:15,0,0,23.16,52.3,0,24.799999,0
2018/7/1,1:30,0,0,23.06,52.44,0,24.4,0
2018/7/1,1:45,0,0,22.94,52.65,0,24,0
2018/7/1,2:00,0,0,22.71,53.27,0,23.799999,0
2018/7/1,2:15,0,0,22.43,54.08,0,23.799999,0
2018/7/1,2:30,0,0,22.25,54.53,0,23.799999,0
2018/7/1,2:45,0,0,22.21,54.49,0,23.799999,0
2018/7/1,3:00,0,0,22.22,54.21,0,23.5,0
2018/7/1,3:15,0,0,22.22,53.94,0,23.700001,0
2018/7/1,3:30,0,0,22.14,53.92,0,24.200001,0
2018/7/1,3:45,0,0,22.04,53.98,0,24.4,0
2018/7/1,4:00,0,0,21.89,54.15,0,24.4,0
2018/7/1,4:15,0,0,21.7,54.53,0,24.299999,0
2018/7/1,4:30,0,0,21.45,55.2,0,24.4,0
2018/7/1,4:45,0,0,21.18,56.09,0,24.5,0
2018/7/1,5:00,0,0,20.93,56.97,0,24,0
2018/7/1,5:15,10.45,4.39,20.84,57.37,0,23.9,0.04788
2018/7/1,5:30,32,19.23,20.99,57.03,0,23.6,0.501655
2018/7/1,5:45,72.63,52.48,21.48,55.65,0,24.1,1.014895
2018/7/1,6:00,102.92,79.04,22.12,53.91,52,23.700001,1.786225
2018/7/1,6:15,151.26,122.87,22.98,51.49,82,24,2.618385
2018/7/1,6:30,184.81,153.93,23.61,49.71,114,24.1,3.563875
2018/7/1,6:45,236.42,202.35,24.18,48.39,154,24.700001,4.77372
2018/7/1,7:00,271.37,235.44,24.69,47.38,195,25.200001,6.22468
2018/7/1,7:15,324.1,285.71,25.16,46.57,237,25.6,7.685824
2018/7/1,7:30,359.21,319.34,25.63,45.6,288,26.1,9.508904
2018/7/1,7:45,411.33,369.49,26.18,44.65,335,26.5,11.28036
2018/7/1,8:00,445.52,402.47,26.61,44.37,382,26.700001,13.2399
2018/7/1,8:15,495.62,450.92,27,44.23,426,27.1,15.01797
2018/7/1,8:30,528.07,482.38,27.41,44.1,474,27.200001,16.89152
2018/7/1,8:45,575.13,528.07,27.85,43.91,515,27.700001,18.66354
2018/7/1,9:00,605.28,557.37,28.28,43.49,553,28,20.377911
2018/7/1,9:15,648.38,599.32,28.68,42.21,589,28.200001,22.05451
2018/7/1,9:30,675.52,625.77,29.02,41.71,631,28.4,23.502991
2018/7/1,9:45,713.74,663.04,29.37,41.24,666,28.700001,24.80061
2018/7/1,10:00,737.39,686.12,29.73,40.8,680,28.700001,26.2157
2018/7/1,10:15,769.9,717.87,30.14,40.21,739,29.4,27.49803
2018/7/1,10:30,789.53,737.03,30.56,39.57,745,29,28.16254
2018/7/1,10:45,815.65,762.54,31.02,38.53,783,29.9,29.28754
2018/7/1,11:00,830.84,777.39,31.49,36.6,786,29.799999,30.4963
2018/7/1,11:15,850.39,796.5,31.93,35.04,817,30.4,31.0009
2018/7/1,11:30,861.15,807.02,32.32,34.09,836,31,31.91622
2018/7/1,11:45,873.8,819.41,32.7,33.14,831,31.5,32.004391
2018/7/1,12:00,879.82,825.31,33.11,31.03,840,31.1,32.26107
2018/7/1,12:15,885.02,830.39,33.44,29.63,808,31.200001,31.927629
2018/7/1,12:30,885.95,831.32,33.75,28.27,843,31.4,32.654541
2018/7/1,12:45,883.56,828.99,33.98,27.38,808,31.799999,32.349758
2018/7/1,13:00,879.43,824.96,34.18,26.86,772,32.700001,31.64658
2018/7/1,13:15,869.42,815.18,34.37,26.51,782,32.700001,30.921801
2018/7/1,13:30,860.32,806.28,34.54,26.17,714,33.099998,28.22106
2018/7/1,13:45,843.26,789.62,34.69,25.79,750,33.200001,30.280741
2018/7/1,14:00,829.48,776.15,34.85,25.29,677,33.400002,28.808109
2018/7/1,14:15,805.23,752.46,34.98,24.89,720,33.700001,27.70159
2018/7/1,14:30,786.69,734.36,35.12,24.44,616,33.400002,24.155041
