date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,Total measured radiation,temperature,power
2018/7/1,0:00,0,0,23.97,49.22,0,25.4,0
2018/7/1,0:15,0,0,23.73,49.85,0,25.1,0
2018/7/1,0:30,0,0,23.54,50.34,0,24.9,0
2018/7/1,0:45,0,0,23.29,51,0,24.700001,0
2018/7/1,1:00,0,0,23.06,51.58,0,24.200001,0
2018/7/1,1:15,0,0,22.78,52.33,0,24.700001,0
2018/7/1,1:30,0,0,22.53,52.95,0,24.799999,0
2018/7/1,1:45,0,0,22.38,53.16,0,25.200001,0
2018/7/1,2:00,0,0,22.26,53.18,0,25,0
2018/7/1,2:15,0,0,22.19,53.07,0,24.799999,0
2018/7/1,2:30,0,0,22.05,53.18,0,24.299999,0
2018/7/1,2:45,0,0,21.85,53.51,0,24.200001,0
2018/7/1,3:00,0,0,21.72,53.6,0,24.200001,0
2018/7/1,3:15,0,0,21.74,53.54,0,23.799999,0
2018/7/1,3:30,0,0,21.7,54.24,0,23.9,0
2018/7/1,3:45,0,0,21.56,55.65,0,24.1,0
2018/7/1,4:00,0,0,21.31,57.38,0,24.4,0
2018/7/1,4:15,0,0,21.03,59.02,0,24.299999,0
2018/7/1,4:30,0,0,20.74,60.46,0,23.6,0
2018/7/1,4:45,0,0,20.49,61.69,0,23.6,0
2018/7/1,5:00,0,0,20.28,62.73,0,23.6,0
2018/7/1,5:15,12.48,5.6,20.21,63.27,3,23.299999,0
2018/7/1,5:30,34.6,21.19,20.38,62.98,15,23.4,0.66996
2018/7/1,5:45,75.6,55,20.86,61.63,31,23.4,1.84239
2018/7/1,6:00,106,81.74,21.49,59.88,49,23.700001,3.584286
2018/7/1,6:15,154.41,125.72,22.2,57.97,69,23.799999,5.326182
2018/7/1,6:30,187.96,156.8,22.85,56.49,92,24.6,7.336062
2018/7/1,6:45,239.51,205.18,23.52,54.99,124,25.1,9.948906
2018/7/1,7:00,274.37,238.2,24.15,53.69,162,25.4,12.93023
2018/7/1,7:15,326.88,288.27,24.82,52.48,204,26,16.581511
2018/7/1,7:30,361.79,321.73,25.24,51.95,253,25.799999,20.802259
2018/7/1,7:45,413.66,371.62,25.7,51.23,299,26.1,24.92251
2018/7/1,8:00,447.72,404.48,26.12,50.69,352,26.299999,29.24375
2018/7/1,8:15,497.69,452.82,26.57,49.88,405,26.5,33.598499
2018/7/1,8:30,530.11,484.24,26.94,48.9,437,26.4,38.020229
2018/7/1,8:45,577.1,529.85,27.27,48.36,494,27.5,42.542461
2018/7/1,9:00,607.14,559.06,27.62,47.76,538,27.4,47.06469
2018/7/1,9:15,650.06,600.83,28.04,46.9,575,27.5,50.816471
2018/7/1,9:30,677.12,627.18,28.48,45.94,607,28,54.70224
2018/7/1,9:45,715.11,664.24,28.95,44.89,642,28.299999,58.487511
2018/7/1,10:00,738.58,687.14,29.41,43.6,677,28.299999,61.837311
2018/7/1,10:15,770.92,718.7,29.9,41.45,709,28.6,64.71814
2018/7/1,10:30,790.49,737.82,30.33,40.01,730,29,67.263977
2018/7/1,10:45,816.67,763.39,30.76,38.82,747,29.1,69.13987
2018/7/1,11:00,831.97,778.34,31.15,37.75,758,30.700001,70.680779
2018/7/1,11:15,851.47,797.41,31.58,36.55,766,30,73.059143
2018/7/1,11:30,862.08,807.8,32.02,35.11,811,30.1,73.461113
2018/7/1,11:45,874.39,819.84,32.46,33.26,811,30.5,75.403999
2018/7/1,12:00,880.11,825.44,32.82,31.93,800,30.6,75.470993
2018/7/1,12:15,884.76,830,33.19,30.61,791,31.299999,75.973457
2018/7/1,12:30,885.32,830.55,33.5,29.64,781,31.200001,75.805977
2018/7/1,12:45,882.24,827.53,33.79,28.75,727,31.6,74.801033
2018/7/1,13:00,877.67,823.07,34.06,27.99,672,30.9,70.010818
2018/7/1,13:15,867.12,812.77,34.27,27.57,665,31.4,66.962502
2018/7/1,13:30,857.61,803.48,34.47,27.29,533,31.6,67.263977
2018/7/1,13:45,839.74,786.01,34.67,26.73,715,32,71.350739
2018/7/1,14:00,825.5,772.09,34.87,26.02,732,31.9,64.550636
2018/7/1,14:15,800.78,747.94,35.01,25.74,653,32.5,63.07674
2018/7/1,14:30,782.14,729.74,35.15,25.57,480,31.799999,63.914181
2018/7/1,14:45,751.24,699.57,35.25,25.43,569,33.299999,59.79393
2018/7/1,15:00,728.75,677.64,35.36,25.28,552,32.700001,55.070709
2018/7/1,15:15,692.19,642,35.43,25.18,531,33.299999,55.338699
2018/7/1,15:30,666.01,616.48,35.5,25.11,444,32.200001,43.547401
2018/7/1,15:45,624.1,575.7,35.54,25.12,427,32.400002,46.9977
2018/7/1,16:00,594.57,546.96,35.58,25.16,370,32.400002,43.915878
2018/7/1,16:15,548,501.73,35.57,25.26,333,33.299999,40.96806
2018/7/1,16:30,514.21,469.06,35.57,25.31,298,33.700001,35.809361
2018/7/1,16:45,459.09,416.03,35.54,25.36,243,32.799999,30.55018
2018/7/1,17:00,414.06,373.27,35.53,25.35,109,33,12.42776
2018/7/1,17:15,348.99,311.67,35.45,25.41,113,32.299999,11.48981
2018/7/1,17:30,301.28,267.01,35.38,25.58,89,32.099998,9.37944
2018/7/1,17:45,244.42,213.56,35.24,25.97,108,32.299999,12.56175
2018/7/1,18:00,210.84,182.02,35.11,26.38,94,32.5,10.38438
2018/7/1,18:15,171.45,144.59,34.93,26.88,83,31.9,8.073018
2018/7/1,18:30,151.02,124.71,34.76,27.3,55,31.9,5.125194
2018/7/1,18:45,114.9,90.68,34.48,27.88,44,31.700001,4.053258
2018/7/1,19:00,89.85,67.72,34.07,28.75,25,31.4,1.875888
2018/7/1,19:15,49.05,32.67,33.15,30.68,15,31.299999,0.870948
2018/7/1,19:30,24.58,13.68,32.5,31.64,9,31,0.435474
