date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,Total measured radiation,temperature,power
2018/7/1,0:00,0,0,19.86,61.42,0,17.6,0
2018/7/1,0:15,0,0,19.81,61.22,0,17.5,0
2018/7/1,0:30,0,0,19.76,61.03,0,17.299999,0
2018/7/1,0:45,0,0,19.7,60.91,0,17.200001,0
2018/7/1,1:00,0,0,19.6,60.89,0,17.1,0
2018/7/1,1:15,0,0,19.52,60.81,0,17,0
2018/7/1,1:30,0,0,19.46,60.61,0,16.700001,0
2018/7/1,1:45,0,0,19.41,60.35,0,16.700001,0
2018/7/1,2:00,0,0,19.38,60,0,16.6,0
2018/7/1,2:15,0,0,19.38,59.51,0,16.5,0
2018/7/1,2:30,0,0,19.39,58.96,0,16.299999,0
2018/7/1,2:45,0,0,19.4,58.37,0,16.4,0
2018/7/1,3:00,0,0,19.36,57.91,0,16.200001,0
2018/7/1,3:15,0,0,19.31,57.5,0,16.1,0
2018/7/1,3:30,0,0,19.24,57.15,0,16,0
2018/7/1,3:45,0,0,19.16,56.83,0,16,0
2018/7/1,4:00,0,0,19.07,56.52,0,16,0
2018/7/1,4:15,0,0,18.99,56.18,0,15.7,0
2018/7/1,4:30,0,0,18.96,55.74,0,15.9,0
2018/7/1,4:45,0,0,18.96,55.29,0,15.6,0
2018/7/1,5:00,0,0,18.93,54.9,0,15.5,0
2018/7/1,5:15,0.45,0.01,18.9,54.56,0,15.7,0
2018/7/1,5:30,17.51,9.14,18.99,54.08,13,15.6,0
2018/7/1,5:45,57.3,40.14,19.37,53.21,27,15.6,0
2018/7/1,6:00,88.2,66.84,19.88,52.16,40,15.9,0.440541
2018/7/1,6:15,138.17,111.91,20.67,50.14,52,16,0.667917
2018/7/1,6:30,173.06,144.17,21.42,49.07,65,16.299999,0.952137
2018/7/1,6:45,226.87,194.66,22.39,47.59,80,16.700001,1.406889
2018/7/1,7:00,263.36,229.25,23.19,44.78,101,17,2.032173
2018/7/1,7:15,318.42,281.82,23.93,42.8,311,17.799999,2.742723
2018/7/1,7:30,355.06,316.98,24.52,40.86,373,19.200001,3.524328
2018/7/1,7:45,409.48,369.42,25.11,39.86,440,21.700001,4.305933
2018/7/1,8:00,445.24,403.99,25.66,38.08,509,21.9,5.073327
2018/7/1,8:15,497.82,454.93,26.13,36.6,576,21.799999,5.96862
2018/7/1,8:30,531.97,488.09,26.59,35.53,647,22.799999,6.835491
2018/7/1,8:45,581.54,536.29,27.03,34.31,711,23.5,7.631307
2018/7/1,9:00,613.22,567.13,27.42,33.76,778,24.4,8.398701
2018/7/1,9:15,658.35,611.13,27.76,33.37,837,24.299999,9.09504
2018/7/1,9:30,686.79,638.87,28,33.36,892,24.9,9.748746
2018/7/1,9:45,726.96,678.08,28.25,33.13,948,26.5,10.37403
2018/7/1,10:00,751.96,702.53,28.46,32.71,998,26.700001,10.91405
2018/7/1,10:15,786.5,736.3,28.66,32.2,1034,27.1,11.35459
2018/7/1,10:30,807.34,756.67,28.84,31.85,1046,27.299999,11.29774
2018/7/1,10:45,835.2,783.92,29.01,31.66,1082,28.299999,8.128692
2018/7/1,11:00,851.44,799.81,29.18,31.37,1061,28.200001,11.39722
2018/7/1,11:15,872.22,820.14,29.37,30.75,1205,28.5,12.23567
2018/7/1,11:30,883.59,831.27,29.52,30.43,1204,28.700001,10.14665
2018/7/1,11:45,896.9,844.3,29.68,30.07,1260,29.299999,11.8804
2018/7/1,12:00,903.25,850.54,29.84,29.83,1212,28.700001,10.23192
2018/7/1,12:15,908.96,856.13,30.02,29.49,1143,29.1,9.23715
2018/7/1,12:30,910.04,857.18,30.19,29.06,1098,28.700001,11.59618
2018/7/1,12:45,907.88,855.06,30.34,28.64,1226,29.1,12.29251
2018/7/1,13:00,903.91,851.19,30.47,28.34,1144,29,13.15939
2018/7/1,13:15,894.04,841.53,30.58,28.18,1243,29.5,10.34561
2018/7/1,13:30,884.85,832.56,30.69,28.04,1132,29.5,10.34561
2018/7/1,13:45,867.47,815.52,30.8,27.86,1068,29.6,12.90359
2018/7/1,14:00,853.48,801.83,30.9,27.64,1127,29.9,11.86619
2018/7/1,14:15,828.85,777.73,30.99,27.41,1080,30.700001,10.40245
2018/7/1,14:30,810.12,759.4,31.06,27.37,990,30.200001,11.28353
